ticket,symbol,type,entry_price,lot_size,stop_loss,take_profit,open_time,close_time,close_price,profit,is_open
1,XAUUSD,BUY,2006.0116779363082,0.01,2005.9916779363082,2006.0266779363083,2024-01-01 02:25:00,2024-01-01 02:30:00,2004.705042329633,-130.66356066751723,False
2,XAUUSD,SELL,2004.705042329633,0.01,2004.725042329633,2004.690042329633,2024-01-01 02:30:00,2024-01-01 02:35:00,2004.4335549517423,27.148737789070765,False
3,XAUUSD,SELL,2004.4335549517423,0.01,2004.4535549517423,2004.4185549517422,2024-01-01 02:35:00,2024-01-01 02:40:00,2005.3012852616762,-86.77303099339042,False
4,XAUUSD,BUY,2005.3012852616762,0.01,2005.2812852616762,2005.3162852616763,2024-01-01 02:40:00,2024-01-01 02:45:00,2003.8642907162423,-143.69945454338904,False
5,XAUUSD,SELL,2003.8642907162423,0.01,2003.8842907162423,2003.8492907162422,2024-01-01 02:45:00,2024-01-01 02:50:00,2005.191981451032,-132.76907347897122,False
6,XAUUSD,BUY,2005.1241970379506,0.01,2005.1041970379506,2005.1391970379507,2024-01-01 03:05:00,2024-01-01 03:10:00,2005.4820776749227,35.788063697214056,False
7,XAUUSD,BUY,2005.4820776749227,0.01,2005.4620776749227,2005.4970776749228,2024-01-01 03:10:00,2024-01-01 03:15:00,2004.2724686317424,-120.96090431803077,False
8,XAUUSD,SELL,2004.2724686317424,0.01,2004.2924686317424,2004.2574686317423,2024-01-01 03:15:00,2024-01-01 03:20:00,2004.3957215940247,-12.325296228232219,False
9,XAUUSD,SELL,2004.3957215940247,0.01,2004.4157215940247,2004.3807215940246,2024-01-01 03:20:00,2024-01-01 03:25:00,2004.039734826031,35.5986767993727,False
10,XAUUSD,SELL,2004.039734826031,0.01,2004.059734826031,2004.024734826031,2024-01-01 03:25:00,2024-01-01 03:30:00,2005.2425644594668,-120.28296334358402,False
11,XAUUSD,BUY,2005.2425644594668,0.01,2005.2225644594669,2005.257564459467,2024-01-01 03:30:00,2024-01-01 03:35:00,2004.704374146578,-53.81903128889007,False
12,XAUUSD,BUY,2004.704374146578,0.01,2004.684374146578,2004.719374146578,2024-01-01 03:35:00,2024-01-01 03:45:00,2004.4071521168353,-29.72220297426702,False
13,XAUUSD,SELL,2004.6955222855615,0.01,2004.7155222855615,2004.6805222855614,2024-01-01 03:40:00,2024-01-01 03:45:00,2004.4071521168353,28.83701687262601,False
14,XAUUSD,SELL,2004.4071521168353,0.01,2004.4271521168353,2004.3921521168352,2024-01-01 03:45:00,2024-01-01 03:50:00,2004.7992127111627,-39.2060594327404,False
15,XAUUSD,BUY,2004.7992127111627,0.01,2004.7792127111627,2004.8142127111628,2024-01-01 03:50:00,2024-01-01 03:55:00,2006.0037371155981,120.45244044354604,False
16,XAUUSD,BUY,2006.0037371155981,0.01,2005.9837371155982,2006.0187371155982,2024-01-01 03:55:00,2024-01-01 04:00:00,2006.022835050829,1.9097935230774965,False
17,XAUUSD,BUY,2006.022835050829,0.01,2006.002835050829,2006.037835050829,2024-01-01 04:00:00,2024-01-01 04:05:00,2006.4711605922923,44.83255414634186,False
18,XAUUSD,BUY,2006.4711605922923,0.01,2006.4511605922924,2006.4861605922924,2024-01-01 04:05:00,2024-01-01 04:10:00,2005.4429454475442,-102.82151447481738,False
19,XAUUSD,SELL,2005.4429454475442,0.01,2005.4629454475441,2005.427945447544,2024-01-01 04:10:00,2024-01-01 04:15:00,2005.512971526667,-7.0026079122726514,False
20,XAUUSD,SELL,2005.512971526667,0.01,2005.5329715266669,2005.4979715266668,2024-01-01 04:15:00,2024-01-01 04:20:00,2004.3024141460492,121.0557380617729,False
21,XAUUSD,SELL,2004.3024141460492,0.01,2004.3224141460491,2004.287414146049,2024-01-01 04:20:00,2024-01-01 04:25:00,2003.4084909066414,89.39232394077408,False
22,XAUUSD,SELL,2003.4084909066414,0.01,2003.4284909066414,2003.3934909066413,2024-01-01 04:25:00,2024-01-01 04:30:00,2004.658133153997,-124.96422473554958,False
23,XAUUSD,BUY,2004.658133153997,0.01,2004.638133153997,2004.673133153997,2024-01-01 04:30:00,2024-01-01 04:35:00,2004.5817518812798,-7.638127271707162,False
24,XAUUSD,BUY,2004.5817518812798,0.01,2004.5617518812799,2004.59675188128,2024-01-01 04:35:00,2024-01-01 04:40:00,2003.9477489841229,-63.40028971569609,False
25,XAUUSD,SELL,2003.9477489841229,0.01,2003.9677489841229,2003.9327489841228,2024-01-01 04:40:00,2024-01-01 04:50:00,2002.5700761017063,137.76728824166184,False
26,XAUUSD,SELL,2003.9644449700475,0.01,2003.9844449700474,2003.9494449700474,2024-01-01 04:45:00,2024-01-01 04:50:00,2002.5700761017063,139.43688683411892,False
27,XAUUSD,SELL,2002.5700761017063,0.01,2002.5900761017062,2002.5550761017062,2024-01-01 04:50:00,2024-01-01 04:55:00,2004.2991050167145,-172.90289150082572,False
28,XAUUSD,BUY,2004.2991050167145,0.01,2004.2791050167145,2004.3141050167146,2024-01-01 04:55:00,2024-01-01 05:00:00,2003.8101215554696,-48.89834612449704,False
29,XAUUSD,BUY,2003.8101215554696,0.01,2003.7901215554696,2003.8251215554697,2024-01-01 05:00:00,2024-01-01 05:05:00,2004.0672205896572,25.709903418760405,False
30,XAUUSD,SELL,2003.8019461536378,0.01,2003.8219461536378,2003.7869461536377,2024-01-01 05:10:00,2024-01-01 05:15:00,2003.7382879659788,6.365818765902986,False
31,XAUUSD,SELL,2003.7382879659788,0.01,2003.7582879659788,2003.7232879659787,2024-01-01 05:15:00,2024-01-01 05:20:00,2002.7235261221547,101.47618438240897,False
32,XAUUSD,SELL,2002.7235261221547,0.01,2002.7435261221547,2002.7085261221546,2024-01-01 05:20:00,2024-01-01 05:25:00,2002.4002861737365,32.323994841817694,False
33,XAUUSD,SELL,2002.4002861737365,0.01,2002.4202861737365,2002.3852861737364,2024-01-01 05:25:00,2024-01-01 05:30:00,2003.074249628867,-67.39634551304334,False
34,XAUUSD,BUY,2003.074249628867,0.01,2003.054249628867,2003.089249628867,2024-01-01 05:30:00,2024-01-01 05:35:00,2002.443497683801,-63.07519450658674,False
35,XAUUSD,SELL,2002.310854689868,0.01,2002.330854689868,2002.2958546898678,2024-01-01 05:40:00,2024-01-01 05:45:00,2004.1274194226055,-181.6564732737561,False
36,XAUUSD,BUY,2004.2107461834776,0.01,2004.1907461834776,2004.2257461834777,2024-01-01 05:50:00,2024-01-01 05:55:00,2003.331196997209,-87.95491862686049,False
37,XAUUSD,SELL,2003.331196997209,0.01,2003.351196997209,2003.3161969972089,2024-01-01 05:55:00,2024-01-01 06:00:00,2004.4867615512799,-115.55645540709065,False
38,XAUUSD,BUY,2004.4867615512799,0.01,2004.46676155128,2004.50176155128,2024-01-01 06:00:00,2024-01-01 06:05:00,2005.343593361031,85.68318097511565,False
39,XAUUSD,BUY,2005.343593361031,0.01,2005.323593361031,2005.3585933610311,2024-01-01 06:05:00,2024-01-01 06:10:00,2006.2229399408686,87.93465798376019,False
40,XAUUSD,BUY,2006.2229399408686,0.01,2006.2029399408686,2006.2379399408687,2024-01-01 06:10:00,2024-01-01 06:15:00,2006.5175164339032,29.45764930345831,False
41,XAUUSD,BUY,2006.5175164339032,0.01,2006.4975164339032,2006.5325164339033,2024-01-01 06:15:00,2024-01-01 06:20:00,2006.7696349111907,25.21184772874676,False
42,XAUUSD,BUY,2006.7696349111907,0.01,2006.7496349111907,2006.7846349111908,2024-01-01 06:20:00,2024-01-01 06:25:00,2008.1579353850148,138.83004738240743,False
43,XAUUSD,BUY,2007.9132394253768,0.01,2007.8932394253768,2007.928239425377,2024-01-01 06:30:00,2024-01-01 06:35:00,2008.926507186336,101.3267760959252,False
44,XAUUSD,BUY,2008.926507186336,0.01,2008.906507186336,2008.9415071863361,2024-01-01 06:35:00,2024-01-01 06:40:00,2009.2366742262275,31.016703989143934,False
45,XAUUSD,BUY,2009.2366742262275,0.01,2009.2166742262275,2009.2516742262276,2024-01-01 06:40:00,2024-01-01 06:45:00,2010.0457178290374,80.90436028098793,False
46,XAUUSD,BUY,2010.0457178290374,0.01,2010.0257178290374,2010.0607178290375,2024-01-01 06:45:00,2024-01-01 06:50:00,2010.120329891248,7.4612062210690056,False
47,XAUUSD,BUY,2010.120329891248,0.01,2010.100329891248,2010.1353298912481,2024-01-01 06:50:00,2024-01-01 06:55:00,2009.8762467395015,-24.408315174650852,False
48,XAUUSD,SELL,2009.8762467395015,0.01,2009.8962467395015,2009.8612467395014,2024-01-01 06:55:00,2024-01-01 07:00:00,2009.1057801378552,77.04666016463761,False
49,XAUUSD,SELL,2009.1057801378552,0.01,2009.1257801378551,2009.090780137855,2024-01-01 07:00:00,2024-01-01 07:05:00,2008.247026940206,85.87531976490936,False
50,XAUUSD,SELL,2008.247026940206,0.01,2008.267026940206,2008.232026940206,2024-01-01 07:05:00,2024-01-01 07:10:00,2009.3837733673593,-113.67464271531844,False
51,XAUUSD,BUY,2009.3837733673593,0.01,2009.3637733673593,2009.3987733673594,2024-01-01 07:10:00,2024-01-01 07:15:00,2008.5967450421551,-78.7028325204119,False
52,XAUUSD,SELL,2008.1033665614336,0.01,2008.1233665614336,2008.0883665614335,2024-01-01 07:30:00,2024-01-01 07:35:00,2009.2007046653903,-109.73381039566448,False
53,XAUUSD,BUY,2009.2007046653903,0.01,2009.1807046653903,2009.2157046653904,2024-01-01 07:35:00,2024-01-01 07:40:00,2010.8075054934993,160.68008281090442,False
54,XAUUSD,SELL,2008.899478555056,0.01,2008.919478555056,2008.884478555056,2024-01-01 07:45:00,2024-01-01 07:50:00,2009.0314384824321,-13.19599273761014,False
55,XAUUSD,SELL,2009.0314384824321,0.01,2009.051438482432,2009.016438482432,2024-01-01 07:50:00,2024-01-01 07:55:00,2009.66053167626,-62.90931938278845,False
56,XAUUSD,BUY,2009.66053167626,0.01,2009.64053167626,2009.67553167626,2024-01-01 07:55:00,2024-01-01 08:00:00,2009.7465743725381,8.604269627812755,False
57,XAUUSD,BUY,2009.7465743725381,0.01,2009.7265743725382,2009.7615743725382,2024-01-01 08:00:00,2024-01-01 08:05:00,2012.0721078596348,232.55334870966635,False
58,XAUUSD,SELL,2014.0222870575992,0.01,2014.0422870575992,2014.0072870575991,2024-01-01 08:20:00,2024-01-01 08:25:00,2013.1718037308237,85.04833267754748,False
59,XAUUSD,SELL,2013.1718037308237,0.01,2013.1918037308237,2013.1568037308236,2024-01-01 08:25:00,2024-01-01 08:30:00,2011.1351750824635,203.66286483601925,False
60,XAUUSD,BUY,2012.8255799440053,0.01,2012.8055799440053,2012.8405799440054,2024-01-01 08:50:00,2024-01-01 08:55:00,2012.35642517618,-46.915476782533005,False
61,XAUUSD,SELL,2011.5699932577306,0.01,2011.5899932577306,2011.5549932577305,2024-01-01 09:00:00,2024-01-01 09:05:00,2011.501631298654,6.836195907658293,False
62,XAUUSD,SELL,2011.501631298654,0.01,2011.521631298654,2011.486631298654,2024-01-01 09:05:00,2024-01-01 09:10:00,2011.2659595690104,23.567172964362726,False
63,XAUUSD,SELL,2011.2659595690104,0.01,2011.2859595690104,2011.2509595690103,2024-01-01 09:10:00,2024-01-01 09:15:00,2012.3464260556877,-108.04664866773237,False
64,XAUUSD,BUY,2012.3464260556877,0.01,2012.3264260556878,2012.3614260556878,2024-01-01 09:15:00,2024-01-01 09:20:00,2014.4925715864188,214.6145530731019,False
65,XAUUSD,BUY,2014.847553223067,0.01,2014.827553223067,2014.8625532230672,2024-01-01 09:25:00,2024-01-01 09:30:00,2015.7909468668279,94.33936437608281,False
66,XAUUSD,BUY,2015.7909468668279,0.01,2015.770946866828,2015.805946866828,2024-01-01 09:30:00,2024-01-01 09:35:00,2014.6391970080738,-115.17498587541013,False
67,XAUUSD,SELL,2014.6391970080738,0.01,2014.6591970080738,2014.6241970080737,2024-01-01 09:35:00,2024-01-01 09:40:00,2016.1849825103754,-154.5785502301669,False
68,XAUUSD,BUY,2016.1849825103754,0.01,2016.1649825103755,2016.1999825103755,2024-01-01 09:40:00,2024-01-01 09:45:00,2018.7604357284888,257.54532181133527,False
69,XAUUSD,SELL,2018.6099948066935,0.01,2018.6299948066935,2018.5949948066934,2024-01-01 09:55:00,2024-01-01 10:00:00,2018.4733673310461,13.66274756474013,False
70,XAUUSD,SELL,2018.4733673310461,0.01,2018.493367331046,2018.458367331046,2024-01-01 10:00:00,2024-01-01 10:05:00,2017.48415360422,98.9213726826165,False
71,XAUUSD,SELL,2017.48415360422,0.01,2017.50415360422,2017.4691536042199,2024-01-01 10:05:00,2024-01-01 10:10:00,2016.5944278479583,88.97257562616687,False
72,XAUUSD,SELL,2016.5944278479583,0.01,2016.6144278479583,2016.5794278479582,2024-01-01 10:10:00,2024-01-01 10:15:00,2015.9144040469778,68.00238009805071,False
73,XAUUSD,SELL,2015.9144040469778,0.01,2015.9344040469778,2015.8994040469777,2024-01-01 10:15:00,2024-01-01 10:20:00,2017.111255212366,-119.68511653881251,False
74,XAUUSD,BUY,2017.111255212366,0.01,2017.091255212366,2017.126255212366,2024-01-01 10:20:00,2024-01-01 10:25:00,2016.5696512500285,-54.16039623373763,False
75,XAUUSD,BUY,2016.5696512500285,0.01,2016.5496512500285,2016.5846512500286,2024-01-01 10:25:00,2024-01-01 10:30:00,2016.8321572032653,26.250595323676862,False
76,XAUUSD,SELL,2016.8321572032653,0.01,2016.8521572032653,2016.8171572032652,2024-01-01 10:30:00,2024-01-01 10:35:00,2016.1732904344635,65.88667688017722,False
77,XAUUSD,SELL,2016.1732904344635,0.01,2016.1932904344635,2016.1582904344634,2024-01-01 10:35:00,2024-01-01 10:40:00,2015.9628753508582,21.041508360531225,False
78,XAUUSD,SELL,2015.9628753508582,0.01,2015.9828753508582,2015.947875350858,2024-01-01 10:40:00,2024-01-01 10:45:00,2014.4567926201685,150.60827306897409,False
79,XAUUSD,SELL,2013.7675408388811,0.01,2013.7875408388811,2013.752540838881,2024-01-01 10:55:00,2024-01-01 11:00:00,2013.9758219591663,-20.828112028516443,False
80,XAUUSD,BUY,2013.9758219591663,0.01,2013.9558219591663,2013.9908219591664,2024-01-01 11:00:00,2024-01-01 11:05:00,2014.5644967204323,58.867476126602014,False
81,XAUUSD,BUY,2014.5644967204323,0.01,2014.5444967204323,2014.5794967204324,2024-01-01 11:05:00,2024-01-01 11:10:00,2015.953288008449,138.87912880165914,False
82,XAUUSD,BUY,2018.3439820946644,0.01,2018.3239820946644,2018.3589820946645,2024-01-01 11:20:00,2024-01-01 11:25:00,2017.0537952783989,-129.0186816265532,False
83,XAUUSD,SELL,2017.0537952783989,0.01,2017.0737952783988,2017.0387952783988,2024-01-01 11:25:00,2024-01-01 11:30:00,2017.2035365143124,-14.974123591355237,False
84,XAUUSD,SELL,2017.2035365143124,0.01,2017.2235365143124,2017.1885365143123,2024-01-01 11:30:00,2024-01-01 11:35:00,2019.0528323988976,-184.92958845852172,False
85,XAUUSD,BUY,2018.340934236788,0.01,2018.320934236788,2018.355934236788,2024-01-01 11:40:00,2024-01-01 11:45:00,2017.6153313662537,-72.56028705342032,False
86,XAUUSD,SELL,2017.6153313662537,0.01,2017.6353313662537,2017.6003313662536,2024-01-01 11:45:00,2024-01-01 11:50:00,2017.4911460169767,12.41853492770133,False
87,XAUUSD,SELL,2017.4911460169767,0.01,2017.5111460169767,2017.4761460169766,2024-01-01 11:50:00,2024-01-01 11:55:00,2017.8458987404933,-35.47527235166399,False
